date,sector,value
2021-07-12 19:29:46.913217,Technology,40.80747609507735
2021-07-19 19:29:46.913217,Technology,45.64129670485848
2021-07-26 19:29:46.913217,Technology,40.2391660372008
2021-08-02 19:29:46.913217,Technology,47.07781572356855
2021-08-09 19:29:46.913217,Technology,41.594032743670255
2021-08-16 19:29:46.913217,Technology,42.63990721253699
2021-08-23 19:29:46.913217,Technology,43.518443171781406
2021-08-30 19:29:46.913217,Technology,48.18378993536013
2021-09-06 19:29:46.913217,Technology,47.044615344167546
2021-09-13 19:29:46.913217,Technology,51.11882385443341
2021-09-20 19:29:46.913217,Technology,50.87498524855381
2021-09-27 19:29:46.913217,Technology,49.25618930919464
2021-10-04 19:29:46.913217,Technology,52.69173790497853
2021-10-11 19:29:46.913217,Technology,51.1766922970786
2021-10-18 19:29:46.913217,Technology,49.55763497533728
2021-10-25 19:29:46.913217,Technology,50.894302715257886
2021-11-01 19:29:46.913217,Technology,47.787744301864734
2021-11-08 19:29:46.913217,Technology,53.8916184693853
2021-11-15 19:29:46.913217,Technology,53.07370415964299
2021-11-22 19:29:46.913217,Technology,54.55774028209462
2021-11-29 19:29:46.913217,Technology,53.07285369244922
2021-12-06 19:29:46.913217,Technology,55.30791348158581
2021-12-13 19:29:46.913217,Technology,53.806818789794775
2021-12-20 19:29:46.913217,Technology,56.30866052770098
2021-12-27 19:29:46.913217,Technology,53.72288368466747
2022-01-03 19:29:46.913217,Technology,53.5323656805534
2022-01-10 19:29:46.913217,Technology,52.34841782492295
2022-01-17 19:29:46.913217,Technology,50.2739078095197
2022-01-24 19:29:46.913217,Technology,56.625056934327176
2022-01-31 19:29:46.913217,Technology,54.367667455474034
2022-02-07 19:29:46.913217,Technology,55.452945800180764
2022-02-14 19:29:46.913217,Technology,51.87515112057896
2022-02-21 19:29:46.913217,Technology,51.91077695847827
2022-02-28 19:29:46.913217,Technology,53.04021472941783
2022-03-07 19:29:46.913217,Technology,53.293877901257204
2022-03-14 19:29:46.913217,Technology,52.10078020469284
2022-03-21 19:29:46.913217,Technology,50.01407316781331
2022-03-28 19:29:46.913217,Technology,50.570427430606195
2022-04-04 19:29:46.913217,Technology,55.36052572168863
2022-04-11 19:29:46.913217,Technology,51.31496607942961
2022-04-18 19:29:46.913217,Technology,48.96391343072534
2022-04-25 19:29:46.913217,Technology,49.83041527760655
2022-05-02 19:29:46.913217,Technology,49.300147215143085
2022-05-09 19:29:46.913217,Technology,47.23446163659663
2022-05-16 19:29:46.913217,Technology,46.75839054553648
2022-05-23 19:29:46.913217,Technology,45.75414239951662
2022-05-30 19:29:46.913217,Technology,43.32520552981534
2022-06-06 19:29:46.913217,Technology,46.02457250138451
2022-06-13 19:29:46.913217,Technology,43.527448962956846
2022-06-20 19:29:46.913217,Technology,43.72557384560774
2022-06-27 19:29:46.913217,Technology,43.56505652389959
2022-07-04 19:29:46.913217,Technology,41.18213084126219
2022-07-11 19:29:46.913217,Technology,41.147265265942835
2022-07-18 19:29:46.913217,Technology,38.10631748597487
2022-07-25 19:29:46.913217,Technology,45.35553414367088
2022-08-01 19:29:46.913217,Technology,36.737487326449475
2022-08-08 19:29:46.913217,Technology,42.63774809193215
2022-08-15 19:29:46.913217,Technology,41.33625192798636
2022-08-22 19:29:46.913217,Technology,40.060648398967956
2022-08-29 19:29:46.913217,Technology,42.1460559144187
2022-09-05 19:29:46.913217,Technology,40.60240392564887
2022-09-12 19:29:46.913217,Technology,36.93720236805504
2022-09-19 19:29:46.913217,Technology,39.78959355822022
2022-09-26 19:29:46.913217,Technology,41.87896527037459
2022-10-03 19:29:46.913217,Technology,41.50126864936732
2022-10-10 19:29:46.913217,Technology,40.90271490492467
2022-10-17 19:29:46.913217,Technology,41.609964907748456
2022-10-24 19:29:46.913217,Technology,37.839632991831515
2022-10-31 19:29:46.913217,Technology,43.17125056601178
2022-11-07 19:29:46.913217,Technology,39.732210282927724
2022-11-14 19:29:46.913217,Technology,40.44157339187463
2022-11-21 19:29:46.913217,Technology,36.96301308075956
2022-11-28 19:29:46.913217,Technology,44.77315217973953
2022-12-05 19:29:46.913217,Technology,42.74003007228659
2022-12-12 19:29:46.913217,Technology,40.522551755722084
2022-12-19 19:29:46.913217,Technology,42.84027258222776
2022-12-26 19:29:46.913217,Technology,45.28697610578649
2023-01-02 19:29:46.913217,Technology,42.47610054416881
2023-01-09 19:29:46.913217,Technology,44.90495035236708
2023-01-16 19:29:46.913217,Technology,47.321433404935604
2023-01-23 19:29:46.913217,Technology,48.38576811392146
2023-01-30 19:29:46.913217,Technology,47.04907996238113
2023-02-06 19:29:46.913217,Technology,46.10307852095886
2023-02-13 19:29:46.913217,Technology,50.41453427325936
2023-02-20 19:29:46.913217,Technology,45.834360759418196
2023-02-27 19:29:46.913217,Technology,50.23006951250845
2023-03-06 19:29:46.913217,Technology,47.11040469926676
2023-03-13 19:29:46.913217,Technology,48.864922674315046
2023-03-20 19:29:46.913217,Technology,52.47858456681829
2023-03-27 19:29:46.913217,Technology,51.524916199278074
2023-04-03 19:29:46.913217,Technology,53.178965975182486
2023-04-10 19:29:46.913217,Technology,53.51205331998871
2023-04-17 19:29:46.913217,Technology,54.68640817679957
2023-04-24 19:29:46.913217,Technology,58.162300654058754
2023-05-01 19:29:46.913217,Technology,57.09412972745066
2023-05-08 19:29:46.913217,Technology,58.68782635879345
2023-05-15 19:29:46.913217,Technology,60.41632797779824
2023-05-22 19:29:46.913217,Technology,60.050998849077466
2023-05-29 19:29:46.913217,Technology,54.10516417279433
2023-06-05 19:29:46.913217,Technology,62.25445905042452
2023-06-12 19:29:46.913217,Technology,59.46749984408966
2023-06-19 19:29:46.913217,Technology,60.224671007214226
2023-06-26 19:29:46.913217,Technology,64.13371603636523
2023-07-03 19:29:46.913217,Technology,60.21540987532453
2023-07-10 19:29:46.913217,Technology,61.355278407425175
2023-07-17 19:29:46.913217,Technology,60.36405710182397
2023-07-24 19:29:46.913217,Technology,66.06223534746748
2023-07-31 19:29:46.913217,Technology,63.09515005669171
2023-08-07 19:29:46.913217,Technology,64.18862817383064
2023-08-14 19:29:46.913217,Technology,62.29287404798695
2023-08-21 19:29:46.913217,Technology,67.4411775116249
2023-08-28 19:29:46.913217,Technology,65.86527053978314
2023-09-04 19:29:46.913217,Technology,62.23453576196369
2023-09-11 19:29:46.913217,Technology,69.05143758826878
2023-09-18 19:29:46.913217,Technology,64.26606606473813
2023-09-25 19:29:46.913217,Technology,61.59928416727316
2023-10-02 19:29:46.913217,Technology,62.91677801917107
2023-10-09 19:29:46.913217,Technology,66.14641124472843
2023-10-16 19:29:46.913217,Technology,61.44248612627929
2023-10-23 19:29:46.913217,Technology,66.16558373223522
2023-10-30 19:29:46.913217,Technology,66.85069864145517
2023-11-06 19:29:46.913217,Technology,63.25419176568326
2023-11-13 19:29:46.913217,Technology,62.71526434401796
2023-11-20 19:29:46.913217,Technology,61.94716891582656
2023-11-27 19:29:46.913217,Technology,62.43742342550481
2023-12-04 19:29:46.913217,Technology,62.458798579983814
2023-12-11 19:29:46.913217,Technology,61.29274220950012
