date,sector,value
2021-07-12 13:21:33.690439,Energy,43.555443581011446
2021-07-19 13:21:33.690439,Energy,50.15993980616339
2021-07-26 13:21:33.690439,Energy,61.54706793705567
2021-08-02 13:21:33.690439,Energy,64.55642965041977
2021-08-09 13:21:33.690439,Energy,61.06082872453184
2021-08-16 13:21:33.690439,Energy,69.53213065531918
2021-08-23 13:21:33.690439,Energy,68.6430000919921
2021-08-30 13:21:33.690439,Energy,64.18118917641034
2021-09-06 13:21:33.690439,Energy,66.1099808022193
2021-09-13 13:21:33.690439,Energy,61.00862498000199
2021-09-20 13:21:33.690439,Energy,65.803767275643
2021-09-27 13:21:33.690439,Energy,63.21003618025816
2021-10-04 13:21:33.690439,Energy,53.456383753631805
2021-10-11 13:21:33.690439,Energy,65.46798776546211
2021-10-18 13:21:33.690439,Energy,52.36336038170767
2021-10-25 13:21:33.690439,Energy,35.93550047599614
2021-11-01 13:21:33.690439,Energy,42.43734052906988
2021-11-08 13:21:33.690439,Energy,42.30286441783917
2021-11-15 13:21:33.690439,Energy,44.875678848848366
2021-11-22 13:21:33.690439,Energy,42.84512803465834
2021-11-29 13:21:33.690439,Energy,34.39066079186632
2021-12-06 13:21:33.690439,Energy,32.78423806637227
2021-12-13 13:21:33.690439,Energy,35.7338947179354
2021-12-20 13:21:33.690439,Energy,29.76913732514384
2021-12-27 13:21:33.690439,Energy,35.25234192894976
2022-01-03 13:21:33.690439,Energy,31.089942102065894
2022-01-10 13:21:33.690439,Energy,40.784662581896036
2022-01-17 13:21:33.690439,Energy,43.11426186828549
2022-01-24 13:21:33.690439,Energy,55.50926898338466
2022-01-31 13:21:33.690439,Energy,49.23391328339975
2022-02-07 13:21:33.690439,Energy,48.80939705145703
2022-02-14 13:21:33.690439,Energy,42.88232862148362
2022-02-21 13:21:33.690439,Energy,66.61562507855471
2022-02-28 13:21:33.690439,Energy,58.83799877724151
2022-03-07 13:21:33.690439,Energy,60.33375631418603
2022-03-14 13:21:33.690439,Energy,61.946343889626135
2022-03-21 13:21:33.690439,Energy,64.92689482408589
2022-03-28 13:21:33.690439,Energy,68.60983768143285
2022-04-04 13:21:33.690439,Energy,66.59481281861449
2022-04-11 13:21:33.690439,Energy,65.51972884837997
2022-04-18 13:21:33.690439,Energy,65.24263827164326
2022-04-25 13:21:33.690439,Energy,53.641949362903794
2022-05-02 13:21:33.690439,Energy,62.76781764691348
2022-05-09 13:21:33.690439,Energy,51.603182267409416
2022-05-16 13:21:33.690439,Energy,54.20368948261126
2022-05-23 13:21:33.690439,Energy,42.275582045241194
2022-05-30 13:21:33.690439,Energy,44.281063163620246
2022-06-06 13:21:33.690439,Energy,50.15334060246562
2022-06-13 13:21:33.690439,Energy,38.01199003830559
2022-06-20 13:21:33.690439,Energy,41.276335183960875
2022-06-27 13:21:33.690439,Energy,29.031965201152985
2022-07-04 13:21:33.690439,Energy,27.15710420395832
2022-07-11 13:21:33.690439,Energy,32.21845893663131
2022-07-18 13:21:33.690439,Energy,41.93467407517669
2022-07-25 13:21:33.690439,Energy,34.11905207235915
2022-08-01 13:21:33.690439,Energy,34.22309155519318
2022-08-08 13:21:33.690439,Energy,36.705568089191836
2022-08-15 13:21:33.690439,Energy,30.07262786422037
2022-08-22 13:21:33.690439,Energy,43.41756915368407
2022-08-29 13:21:33.690439,Energy,48.379191083027536
2022-09-05 13:21:33.690439,Energy,43.653316468798785
2022-09-12 13:21:33.690439,Energy,57.359254834142725
